,text,is_positive
1411,"@markasaurus @MeganPanatier Actually, I am actually optimistic that driverless cars will really help car sharing. Come to me, Zipcar...",1
1414,"Ugh RT Ì¢âÂÒ@planetizen: Driverless Cars Are Coming, But They'll Bring Congestion and More Fuel Consumption http://t.co/piWgD3iB5rÌ¢âÂå",0
1417,"Driverless Cars - Still A Distant Dream (Work Faster, Google!) http://t.co/5PQ5We7Oza",1
1419,Where are these driverless cars? I could use one for this 3 hour drive...,1
1422,How much revenue did Google make last year? $50billion. Billion. Where will it be in 10yrs when glass and driverless cars mature? Trillions?,1
1423,"Can't wait for driverless cars to come out! This is the first time I'm excited about motor vehicles, in my entire life.",1
1428,"oh hell no, i know enough about computers to not trust a driverless car",0
1429,Driverless car no problem. Automatic sink and paper towel in a rest room and nothing works without vogueing.,1
1430,Driverless Taxis concern me. What about ranting and cursing? Who will listen to me? #GartnerSYM,0
1431,"@imsobadatthese, nope. Driverless cars, quantum computing, WIFI blimps Ì¢âÂÛ it's #Google who's planning world domination. And I'm okay with it.",1
1432,"I love these times ""from age of horse less to driver less travel"" MT @forbes Google To Build Its Own Driver less Cars http://t.co/kf4Ipg0dmL",1
1434,My robot (driverless) car and me. #scifi #future #google (@ Googleplex - @google w/ @seedcamp) [pic]: http://t.co/nCuGIi65CM,1
1436,Google's driverless cars are already testing better than humans http://t.co/Un245inamT,1
1437,I like the numbers here - How much will #driverless cars really save us? http://t.co/kJzi0hGGnb,1
1438,@jfagone @SteveVolk @ckrewson Actually that's not as crazy as it sounds. Better they pay newspapers than build driver-less cars.,0
1441,"""@NBCPhiladelphia: Driverless cars to be tested in California: http://t.co/cKXdE0pgb6"" I'll soon fulfill my childhood dream of owning #KITT!",1
1445,"As soon as I can buy a driverless car, I'm going get one and backroad across the country.",1
1447,Race for driverless cars is in full throttle: Google and other innovators say they may be just five years away... http://t.co/c6meALY2Yi,1
1461,Driverless cars? Now we gave 7000 lb weapons tied to remote control? I don't think so! No need exists. At all   http://t.co/9aSEpIfxdy,0
1465,A driverless car invented by Google has completed over 300k miles and only had two accidents when humans in other cars hit it.,1
1467,"Can't wait for driverless vehicles to be the norm, obviously we are a while away cause it's still spell checked as a word :)",1
1475,Saw a Google driverless car today... a Lexus RX hybrid...nice. I'm hoping that pilotless planes are next on the agenda. #google #tech,1
1476,"Driverless cars mean more miles driven, higher fuel consumption. http://t.co/mq8vy4uQkM   #transportation",0
1479,13 hour drive ahead of me... @Google driverless cars can't get here fast enough,1
1480,"Good Q but half of deaths from medical errors:34,000 traffic deaths a year in the U.S. Driverless car reduce number? http://t.co/a45qdQAuQWÌ¢âÂå",1
1481,I am the Google driverless car today Ì¢âÂÛÏ I keep not going where I intend to go.,0
1491,"So if Google Glasses are banned for drivers, just use a Google Driverless Car! http://t.co/8Xu7I1y1Wz",1
1492,Starting to save money now. Ì¢âÂÒ@verge: Elon Musk in talks with Google to bring driverless tech to Tesla cars http://t.co/iFs5JkisxlÌ¢âÂå,1
1498,Saw a driverless car on the highway and played ball with a former Miami Dolphin. #TodayWasAGoodDay #fb http://t.co/qT5wC0VLQs,1
1499,Beats driverless cars. RT @CNET Google said to deploy Wi-Fi blimps in Africa and Asia. http://t.co/Ua6eGOVifY $GOOG,0
1500,Driverless cars...just think of the potential productivity &amp; safety gains. http://t.co/EVuGPeTPZB via @freakonomics,1
1501,@Kelly_Evans No on the driverless truck for now &amp; Boone s Nat-Gas Truck idea is Ì¡üÛ÷_! Be like havin bombs drivin with lil people next 2 em !,0
1503,"Ì¢âÂÒ@DRUDGE_REPORT: #FBI warns GOOGLE driverless car could B used for terrorism... http://t.co/E3mjEiV5VzÌ¢âÂå /Duh, and using a #pressurecooker ?",0
1505,Terrorism threatens my driverless car now? Ugh! RT @verge: The FBI is worried driverless cars will be used as bombs http://t.co/DYZu71imCQ,0
1506,"""@verge: The FBI is worried driverless cars will be used as bombs http://t.co/vchAhbCXo5""  Looks like driverless cars are now dead.",0
1507,FBI says driverless cars good for surveillance but could be used as deadly weapons: The FBI's thoughts on... http://t.co/8cSvhHDclX,0
1508,@ModeShiftOmaha @slobotski Well the good news is parking space problem will be gone after we have driverless cars:),1
1509,Street cars trollies bikes &amp; driverless cars = urban solution Cc: #GoogCommerceDev @UrbanLandInst @880thebiz @TheMiamiNews1 @TheSoBeTimes,1
1510,Driverless cars?! I want one,1
1515,Poll: Drivers love idea of driverless cars http://t.co/WjB2qHbd86 @ChrisWoodyard @usatoday #driverless #selfdrivingcars #autonomouscar #cars,1
1516,"#Google Survey just asked if I'd use a #driverless car. I only wished they had an ""Hell Yes"" as a radio selection. #cantWait #takeMyMoney",1
1522,The wave of the future. Driverless cars with anti-wreck technology. Who needs insurance??? http://t.co/1ihR7YfJ,1
1527,So excited for the Google Glass and Driverless car demo just in a couple of minutes! #yglsvs,1
1528,Sometimes when I see the Google Drive app on my phone I get really excited because I think it will summon a driverless car to take me around,1
1532,@NBCNightlyNews I'm glad that driverless vehicles are being legalizes in one state already but they probably will not http://t.co/7X2AqJLxc1,1
1534,Ì¢âÂÒ@AccuracyInMedia: Detroit Unhappy with Google's Push for Driverless Cars http://t.co/zLqksSdxQP #tech #carsÌ¢âÂå,0
1537,Driverless car appeals to me instead of the real estate chauffeur one can become: http://t.co/REbLM7fYkb http://t.co/OM2Cj0n3pw,1
1538,"""FBI warns driverless cars could be used as lethal weapons"" because regular cars can't, right? http://t.co/y4odPiuDCH",1
1539,Business Insider: The FBI Is Afraid Criminals Will Use Google's Driverless Cars For Freeway Shootouts (GOOG) http://t.co/s4jMhGPO5i,0
1541,"Hey FBI, driverless cars won't kill people. People will kill people.",1
1542,"Must develop policies now to prevent this. ""@StreetsblogNet: Toyota Official: Driverless cars could encourage sprawl http://t.co/jFrcmI3rQf""",0
1543,"FBI: Driverless cars could make criminals more dangerous. Also, criminals are more dangerous in cars than on horses! http://t.co/LlLCuweGRD",0
1547,"Imagine a world with virtually no DUIs or massive traffic jams, and increased productivity / wealth. Driverless cars will be big for us.",1
1550,Swing by and pick us up! | @Audi driverless car hits Tampa Bay road in test http://t.co/vxcXbyY3SY @WTSP10News http://t.co/NawXoIz9yy,1
1551,.@danlyke working w/Google on algorithms for driverless cars to annoy bike riders. MirrorTap( ) RtRedLightRoll( ) CrosswlkIgnore( )#kidding,0
1553,@MattAkaLeafs that baby is driverless!,1
1555,Driverless electric cars are in UK by 2017.  Wow!,1
1556,@mrmidi Now I just need an aftermarket driverless car mod and mobile wifi,1
1563,The Driverless Car Revolution Should Not Begin with Cars  http://t.co/sigdhgXkXT  via @chrissandoval,0
1564,"Tesla, Google, and Uber.   Tesla makes it sexy, Google makes it driverless, Uber makes it available.   The future, people.",1
1566,@StartupAmerica @SteveCase I want a driverless car now,1
1572,"@slyarak Driverless should also keep down operating costs, right?",1
1573,"@tcarmody Google investing in driverless cars, internet balloons, and wearables. Microsoft invests in a search engine? Come on.",1
1574,Driverless cars for NYC- no more parking insanity- MT @freakonomics: wouldn't it be nice if our (cont) http://t.co/DDnrcdRLwu,1
1575,@sherylsandberg was awesome last night @Dreamforce. Seeing Google's driverless car at Stanford tonight. Is this heaven?,1
1577,Burkhard Bilger: Inside GoogleÌ¢âÂã¢s Driverless Car http://t.co/qQtnB4Y5pw // man I want a self driving car so badly!!,1
1578,I think the best argument for driverless cars is that we could eat tacos while commuting,1
1580,Sign me up for one of the first driverless cars. http://t.co/BzI6ahbiyL,1
1584,Sit back and nap and play board games and watch Netflix while our driverless car takes us across country - where do I buy?,1
1585,I can not wait for driverless cars to be the norm on highways!,1
1587,Ploop! FBI warns driverless cars could be used as 'lethal weapons'  http://t.co/dg9JK8Bd68,0
1589,"""Driver-less cars could be potentially lethal"" - news ticker.   Yeah I mean I would think so too...",0
1590,Aren't they already? Ì¢âÂÒ@Techmeme: FBI warns driverless cars could be used as 'lethal weapons' http://t.co/BZCGGulW6x http://t.co/sTLxMt1lLzÌ¢âÂå,0
1592,The FBI is concerned that driverless cars could be accomplices in drive-by shootings.  http://t.co/LgHKNQDwyY,0
1595,"We're Heading Into A Jobless Future, No Matter What The Government Does - http://t.co/OItJDhdfrM example,driverless cars, taxis, deliveries",0
1598,"Thanks for share. Driverless cars won't make us thinner, healthier, happier Ì¢âÂÒ@transitfok: Driverless cars and sprawl http://t.co/q6OI1IfwLhÌ¢âÂå",0
1607,Audi will be testing driverless cars on the expressway here in Tampa tomorrow. Pretty dope.,1
1609,"Driverless cars could increase pollution, warns @Toyota http://t.co/UXrEjHV2ZK",0
1610,"@bslotterback @danalytics Yes, my 11 yo daughter says she ""can't wait"" to have her own driverless car.",1
1617,"Many scenarios concerning civil rights, spying, espionage, and corporate exploitation ensue with driverless cars. #FutureTalk",0
1622,"@Gary_Fisher Know what is going to kill driverless cars? The speed limit, and not being able to pass within three feet of cyclists.",0
1623,"Since it is a speed LIMIT, driverless cars cannot be programmed to exceed it. This is going to be fun.",1
1629,Brave new world &gt; Driverless cars will make police chases 'lethal' http://t.co/rclSY1DH1e @burlingtonpd @OSPolicing,0
1630,FBI Warns Driverless Cars Could Become New 'LethaÌ¢âÂå_: http://t.co/YkxLPxdIxB,0
1631,"Also, cars with drivers @transsafe: FBI warns driverless cars could be used as 'lethal weapons' @BerkeleyITS @tsrcits http://t.co/Qd9UrEImqq",0
1633,Driverless cars! Love how Google takes on big challenges AND shares insights with students @ReveAcademy http://t.co/GvIFYbWeK9,1
1635,"I need to move to Britain! ""@TIME: Driverless cars to hit public roads in Britain by January 2015 http://t.co/e0lKPCs0Uh""",1
1636,"They're on about driverless automated cars, why waste the money? Get a fucking taxi",0
1639,"Driverless Cars are going to take us into a new age, just like how we transitioned from Horses to Cars.",1
1640,Woman at the airport bar is 3 things: 1) clearly drunk 2) from buffalo and 3) is telling EVERYONE about the benefits of driverless cars,1
1647,@dohertyjf to keep pushing hard for driverless cars. They'll save millions of lives and billions of hours productivity/quality time.,1
1648,"I boost driverless car - see huge benefits, esp more mobility for people who can't drive: old, young, poor. But there is a downside: NSA.",1
1649,"Driverless cars: Humans are terrible drivers, computers only have to be less terrible http://t.co/v1sTDjR8EO",1
1651,"Driverless cars could hit local roads by 2020: Imagine being able to work on your laptop, or video conference... http://t.co/tw0mc0b7vf",1
1652,@Kirsten_Price and their experimenting with driverless cars. NOTHING bad could come of that,1
1653,"Driverless cars are terrible. How can anyone be a fan of them. I mean, c'mon!!!",0
1654,@ESPN_Colin I'm skeptical about the driver less cars too. I'd be freaked out by an empty driver seat,0
1655,I wish I had a driverless Audi TT that could follow you around. Praise Google!,1
1657,"Wow, just saw a Google driverless car on 101. Cool!",1
1658,Ì¢âÂÒ@mashable: Google's Driverless Car Is Now Safer Than the Average Driver - http://t.co/O2LUWXdqÌ¢âÂå // I will never get one of these. I drive.,0
1659,Total believe it @mashable: Google's Driverless Car Is Now Safer Than the Average Driver - http://t.co/gF125DA3,1
1660,Ì¢âÂÒ@mashable: Google's Driverless Car Is Now Safer Than the Average Driver - http://t.co/DvmTgzRQÌ¢âÂå @renoLrap check this out for John!,1
1662,Just saw a Google driver-less car zoom by on Google campus!!!,1
1663,#Google has driverless cars??? #WTF #mindblown,1
1665,Ì¢âÂÒ@seldo: Driverless cars are now apparently an election-worthy issue? http://t.co/QAT81w6AÌ¢âÂå seriously florida?,0
1668,"I, for one, am very excited about self-driving cars. -- Google's Driverless Car is Safer than the Average Driver http://t.co/Mc5mupeU",1
1672,Well this is a little terrifying. I still want a driverless car in my lifetime though.  http://t.co/PscKdw7d,1
1679,I'm fascinated by the idea of driverless cars. So's Sen. Risser who thinks WI could be a cold-weather testing ground: http://t.co/REEP4EpI,1
1680,What a fun and exciting mental exercise to play thinking about the future of driverless cars http://t.co/XITRhk8GsH @chunkamui #killerapp,1
1681,Ì¢âÂÒ@SAI: A Look At How Driverless Cars Will Make Intersections So Efficient It's Scary by @officialKLS http://t.co/xoag9RSWÌ¢âÂå,1
1682,Driverless Cars Will Make Intersections So Efficient It's Scary http://t.co/yv5QEeZf,1
1684,"Government regulation, lawyers, insurance companies Ì¢âÂå_. Long road until we go fully driverless. Sigh. #cas13",0
1686,I would like to go for a drive with these guys. Driverless cars will be the safest cars ever #cas13 http://t.co/q24oKdlp,1
1687,"Not only are there legal/regulatory concerns with driverless cars, thereÌ¢âÂã¢s a matter of societal trust. #goodpoint #cas13",0
1692,What intersections would look like in a world with only driverless cars. I literally winced the whole time... http://t.co/1EkGcQdM,0
1696,A look at the #cas13 floor as I wait for the driverless car presentation. Sounds interesting! http://t.co/D7GkR6Ju,1
1697,Could technology lead to 50% unemployment?: It's no secret that smart machines - think Google's driverless cars -... http://t.co/Kb0wORYJ,0
1698,Looking forward to the future of the driverless car. @chunkaimui @ForbesRussia http://t.co/mj3wblPZ #Millenials will more readily adopt,1
1700,Colorado driverless car bill shelved until further notice: ÌâåÊA bill to allow driverless cars on Colorado highways was... http://t.co/D18lYQJ7,0
1702,@google please hurry up with this driverless car thing before people that are texting kill us all!  4 spotted on freeway this morning Ì¡üÛªâÂ,1
1704,Driverless cars. DUMBEST F..ING Idea I have ever heard of.,0
1705,@itootill @thetransitfan Driverless shared cars will be much less expensive and much safer. Will obey rules. Can't wait! 10-20 years?,1
1709,Ì¢âÂÒ@WSJ: How do you insure a driverless car? The hurdles they'll face: http://t.co/5t6eKAlUqq http://t.co/6tpq8YDin4Ì¢âÂå @QMac6 @kmazur92,0
1710,Interesting .@globebusiness: Will driverless cars lead us down a jobless road? http://t.co/3yEah0tE6w @barriemckenna http://t.co/TDeESEi8vT,0
1711,"Carlo Ratti keynote - driverless city will require 80% less automobile infrastructure for the same mobility. Yes, please! #UrbanBigData",1
1717,@CBCNews this am 2 car accidents &amp; 1 near miss at Metcalfe McLaren. time to test drive driverless cars in Ottawa #ottvote #somerset #ottpoli,1
1718,@camerondgray thinking about programming a google driverless car to hunt for road kill while I sleep. road kill jerky for all!,1
1722,"Google driver-less car is not viable , insurance companies would have no part of it.",0
1724,Wish they'd hurry up and get those driverless cars on the road.  This pushing the gas pedal and paying attention is getting old.,1
1726,@LDrogen @conorsen fleet of driverless cars are way smarter than people. Will find efficiencies in routes and rarely need to park in $ zones,1
1727,Driverless cars and iPhones are more important than securing the ocean as a water supply #desalination,0
1730,Would have been good for Teddy &amp; Mary Jo K. Driverless car takes test run through DC... http://t.co/Ol3X3Pqobw,1
1731,Google driverless car + Uber = Best money bot ever,1
1734,I want one driverless vehicle. Just like a pilot using autopilot. Coming on 2015. http://t.co/npX5qfCzDA #omg #excited #automotive,1
1735,Seems like driverless cars are a scam to put $ into Google &amp; software giants instead of infrastructure for all (trains).,0
1736,A driverless car?? I need to get me one of these http://t.co/334tLkJzuQ,1
1737,"News flash: we already have driverless cars,  they're called subways.",0
1740,VolvoÌ¢âÂã¢s New SUV Will Be Super-Safe Because ItÌ¢âÂã¢s Semi-Autonomous. Driverless controls by 2020. | Autopia | WIRED http://t.co/NiQab83jfU,1
1743,"Oh, I-95, you do me so wrong. Driverless cars can't come soon enough...",1
1746,"#Durham Driverless car causes crash in NC, two people injured - http://t.co/Oz48xG2bX4 http://t.co/sgdLDH1PJF #dur @DurhamNC_",0
1747,UberPool is going to be a big deal. http://t.co/WopxQ2uJkg  Get that working with a driverless fleet? ThatÌ¢âÂã¢s enough to make Walt Disney cry.,1
1751,They want us to believe a self-driving car malfunctioned but this is a Google STREET VIEW car; NOT a driverless car. http://t.co/2N5Wywgtc4,0
1752,"My first ever tweet while cruising in a #driverless car. Mindboggling, sensorial experience. Thx #Google. #whoahorsey http://t.co/iAliBTrVvt",1
1755,I don't think I understand the point of a driverless vehicle.,0
1758,"hmmm  I wonder what the insurance would be on a driver less car? Yeah, not practical.",0
1762,"8:28 AM - The driverless cars took is to the wrong spot. @DustyEyesSEM says, ""Damn Robots."" I agree. We board a bus. #DelucchiDoesGoogle",0
1767,@henebb #1 barrier to driverless cars - insurance liability. Who's cause of accident?  @Aaron_Griffith @GregerWikstrand @PeterKretzman,0
1768,@GregerWikstrand we don't need driverless cars to decrease our dependence on fossil fuels - no connection @Aaron_Griffith @PeterKretzman,0
1770,Amazon Prime Air almost as incredible as Google's driverless car http://t.co/SG1entwrn6,1
1771,@jonlovett @ianbetteridge Until you try to put driverless trucks on Highway 7 in a snow storm. Then that idea kind of goes to hell.,0
1780,RT @RWW: Why Driverless Cars Won't Save The Environment by @bradberman http://t.co/CKDS4ApC4h,0
1790,@Atrios Dudes who like driverless cars are all over this.,1
1799,Atlanta canÌ¢âÂã¢t fix itÌ¢âÂã¢s mass transit or urban sprawl issues. WeÌ¢âÂã¢re a car-centric city. We should focus on driverless cars instead.,1
1803,@BenLindemulder engineering? Ha! That would be too easy. Autonomous- driverless and completely self controlled. I win,1
1810,CAR WARS - Action/Sci-Fi - Drew Goddard - 'In the future driverless cars become sentient and turn on the human race'.  #blackoutlist2013,0
1813,I can't wait to blunt cruise in the Google driverless car. Holy shit.,1
1814,Jealous! @Reuters own @IngrassiaReuter gets to ride in  @google driverless car!!  Still ready here to beta one! http://t.co/3owbWMUu92,1
1817,The driverless car = headless horse,0
1820,Driverless cars will ruin the thrill of driving http://t.co/84M305hGW5 http://t.co/1m0QK3wnAO,0
1823,The age of driverless cars cannot come soon enough. http://t.co/Q0Khm0EUMA,1
1825,"8:28 AM - The driverless cars take us to the wrong spot. @DustyEyesSEM says, ""Damn Robots."" I agree. We board a bus. #DelucchiDoesGoogle",0
1826,Wow!  Driverless vehicles? Even in the streets of D.C.? http://t.co/Hi6iPEVoLL,1
1827,"Sadly, they're probably safer than most other cars RT Ì¢âÂÒ@washingtonpost: Driverless vehicle hits the streets of D.C. http://t.co/fKZb7SiMMrÌ¢âÂå",1
1832,"Ì¢âÂÒ@gemstars: Why driverless cars are better drivers than humans. you agree? http://t.co/NRxsct1lV0Ì¢âÂåÌ¡üÛªå´Yes, do to they r programmed to obey law",1
1836,"I want the driverless car, and BAD. Seriously I would be happy if tomorrow morning there were no drivers behind the wheel.",1
1837,"One of Google's engineers is developing a ""Driverless Car""...amazing.",1
1839,@itootill @fourdogalpha @thetransitfan Could play immersive driving games or simulations in driverless car. Probably much more exciting.,1
1840,I want to see this!  Ì¢âÂÒ@atxhipsters: Google's driverless car rolls into Austin http://t.co/zuhwrS7j via @MyABJÌ¢âÂå,1
1842,@Google sees driverless cars being available to consumers in 3-5 years http://t.co/vw330qAB Boom for happy hours?,1
1844,Driverless cars ? What's the point ?,0
1845,Why is the driverless car prototype a Prius? That is a bad ideer.,0
1846,Driverless cars?!! Wth!i honestly don't think that's a good idea..,0
1848,Self-driving cars? Sounds good to me!  --- Headline @USATODAY: California okays driverless cars http://t.co/v9jFiX1z,1
1853,@jeffmichael11 Driverless car!? I think not!It will B a clstrfk of lawsuts! Whose fault will it B? This just crzy! It was a joke story rite?,0
1854,California: where drugs and driverless cars are legal!,0
1856,RT @wsj: WSJ's auto critic Dan Neil on why driverless cars are inevitable and why that's a good thing: http://t.co/VyPEKnPg,1
1857,"""WSJ's auto critic Dan Neil on why driverless cars are inevitable and why that's a good thing: http://t.co/Tf8863FJ"" #roadsoady #notickets",1
1858,@F3rnandezLis I've been fascinated about this for a while. Driverless caravans will be the future.,1
1859,What could possible go wrong? @engadget California Governor Brown signs bill clearing use of driverless cars on public roads,0
1860,Can't believe that in less than 5 years you'll be able to own driverless car ! #googlecar,1
1865,Score! California becomes second state (after Nevada) to legalize driverless cars: http://t.co/PXKSSU51,1
1870,Really interesting article about the future of driverless cars and the transit system. - http://t.co/x1RZjsN6,1
1871,"driverless cars, wtf!?!?Ì¡üèÏå_",0
1873,"""@nytimesbits: With a Push From Google, California Legalizes Driverless Cars http://t.co/GkQVenmb""Yeah baby! Seen cars like this here&amp;there.",1
1875,Can the Google driverless cars drive my kids to soccer practice? That would TOTALLY help.,1
1880,Cars will have killed us all by then RT @WiredUK: Driverless cars mean no more driver's licences by 2040 http://t.co/k4Z7CJAM,0
1882,Google developing a driverless car??? da facckk?!,0
1883,Driverless cars now legal in #California. I predict a dramatic increase in drive-by shootings. #UnintendedConsequences http://t.co/t9zUEOho,0
1885,Love the picture NYTimes picked for the driverless car legalization story: Google car IN crosswalk with people in front http://t.co/NzpN4SUx,0
1886,"Google is at it again.  ""@ForbesTech: Would You Feel Safe in a Driverless Car? Calif. Gov. Jerry Brown Does. http://t.co/8ie6CDNIÌ¢âÂå",1
1887,The future of google...driverless cars...space elevators... #mindblown,1
1890,"Driverless car rolls backwards out of parking space, crashes into pillar outside Town &amp; Country entrance. #Bainbridge http://t.co/ymcXAt3L",0
1895,Driverless robo-cars seems no fun to me / http://t.co/F4LlPLci,0
1898,"Automotive technology: Driver-less cars will reduce accidents, ease congestion.",1
1899,How driverless cars are here to stay and how many lives they'll save: http://t.co/hSAFD7bw,1
1904,"Driverless cars are now legal in California. Road head just became 47% less dangerous. Ladies, come check out my robot car.",1
1906,@Gartenberg I want a driverless car powered by apple maps. That is all.,1
1907,I can't wait until driverless cars actually makes this true. http://t.co/it9q6rai,1
1908,This will blow your mind (i have been wanting to say that) @TheAtlantic: How driverless cars remake our transit system http://t.co/qO3SMma9Ì¢âÂå,1
1910,"@vpostrel Driverless cars--great, but they aren't sustainable without an honest energy policy. Per capita energy use defines the future.",0
1912,"@MayorGregor, $40 M/year parking revenues at risk with driverless cars. Why park for $20 when you can send the car elsewhere? Plans?",0
1913,"driverless cars are legal, thats probably the most intelligent thing ever",1
1914,Driverless cars ? I think I'm about done with the world! I can't deal. GOOGLE is coming out with everything,0
1916,There has been safe (nearly) driverless transportation for centuries.   @ Belt Railway http://t.co/Ez2FQjBi,1
1919,California legalizes driverless cars!? Wtf! Right when I leave California too -.-,1
1921,Do you trust driverless cars? I do as long as they use Google Maps http://t.co/9j2MVJLy,1
1925,Driverless Cars: Now Street-Legal in California ... a good reason to leave CA... no one is behind the wheel http://t.co/1keEMOpH,0
1929,Driverless cars... What do u think? I don't like the idea Ì¡üèÏÛ¢,0
1931,Ì¢âÂÒ@WSJ: WSJ's auto critic Dan Neil on why driverless cars are inevitable and why that's a good thing: http://t.co/hC8TbEOpÌ¢âÂå So we can text?,1
1932,So cool! RT @wired: Score! California becomes second state (after Nevada) to legalize driverless cars: http://t.co/CC69aU9b,1
1933,Ì¢âÂÒ@wired: Score! California becomes second state (after Nevada) to legalize driverless cars: http://t.co/vxDDtjm7Ì¢âÂå We can drink &amp; NOT drive!,1
1935,Gov Brown's press conference was set in a dystopian future where billionaire cyborgs unleash armies of driverless cars: http://t.co/PfWd6eyo,0
1936,"I am so getting one! Hurry up KY! ""@nytimesbits: With a Push From Google, California Legalizes Driverless Cars http://t.co/NMNzaRTX""",1
1937,Say word you can have a driver-less car in California now... #sweet,1
1939,"#Google 's stocks are already skyrocketing, now the driverless are approved in CA !",1
1943,Happy 14th birthday #Google!  Too young to drive? No problem. We'll make driverless cars,1
1944,"@wired These are to go on the google driverless cars, I hope!",1
1947,Nerds galore! CA becomes 2nd state (after NV) to legalize driverless #cars: http://t.co/ffvnshPh #robot #automotive #kitt #knightrider #ai,1
1950,"I can't wait to get 1 of those driverless cars. Can you imagine?..I can. Like otter said in animal house. ""Road trip""",1
1952,As soon as driverless cars become the norm I'll just start riding a motorcycle. #Luddite,0
1953,"No it won't, because I refuse to own one. @Jalopnik: A ""Driverless Car"" will be the first real robot you'll own. http://t.co/hMQXuK6n",0
1966,"@maximaxoo @motherboard The driverless cars in the movie ""I robot"" more realistic.",0
1967,"@MarketUrbanism @SunnysWords go driverless to save on operating costs, and increase frequency?",1
1969,Driverless cars. I see a great future. Just imagine what you could do during your  commute. Binge watch the latest Netflix series. #CES2014,1
1976,We're about to get hands off with the driverless @Audi in Las Vegas. This is going to be an experience. #CES2014 #cartech #audi,1
1983,I just really want said driverless car for this eight hour drive to NC.,1
1986,BMW hits the performance limits with its driverless car via @CNET http://t.co/t3w6KBPEqj,1
1989,This auto insurer is not happy about a future of driverless cars. http://t.co/vIET6dE0Mo http://t.co/Ah4mR0nES1Ì¢âÂå,0
1990,Crazy it's possible we'll see the day when our drunkasses are being driven around by driverless taxis by @google http://t.co/Acxj3OEACW,1
1991,@d3signerd Ì¢âÂå_being systematically run over by driverless cars.,0
1993,Very cool. RT: Ì¢âÂÒ@FastCompany: The Streets Of Ann Arbor Will Soon Be Filled With Driverless Cars http://t.co/JrfeKhAmRuÌ¢âÂå,1
1996,"I don't know about other states, but the average Minnesotan is a terrible driver. Can't wait for driver-less cars!!!",1
1997,@Audi loved your driverless car demo @CES2014. Wrote a quick blog about it http://t.co/ctqnibr4dI,1
2000,Ì¢âÂÒ@JeffreyBrandes: Why Driverless Cars Will Make Your Life Perfect http://t.co/0tGIpkWuvJÌ¢âÂå WHEN THEY GET HERE I WILL WELCOME THEM IN MY 80s!,1
2008,Driverless cars! Now I'm all about that! Less people behind the wheel texting and not paying attention to the road! #CES2014 @CNBC,1
2010,#TxTransForum the future is electric roads and driverless vehicles! I'm ready now.,1
2011,Not much creepier than a fleet of driverless cars slumbering fitfully just before dawn. @ LVH - LasÌ¢âÂå_ http://t.co/p7fujdIgJx,0
2015,Driverless cars- one of the biggest and most exciting technology trends of the next 10 yrs #Deloittepredicts not in the near future,1
2017,Just rode in the @inducttech #Navia  Great ride. Very cool #driverless technology. http://t.co/zFo0Sj56xM,1
2020,What's the point of buying a driverless car... Isn't the whole point to be able to drive?,0
2025,Can we talk about how Google has now made a driverless car and fucking irobot contact lenses what is the world coming to,0
2028,@nichcarlson but that's a far cry from believing Chrome success means driverless cars can't fail,0
2030,@newtgingrich Driverless cars are needed on the Las Vegas strip. There's a pedestrian fatality almost every  week.,1
2032,@newtgingrich Why not just drive the car yourself? I just don't see the point of a driverless car. Is it going someplace alone? Why?,0
2039,"@ranilillanjum @harrahjohn Hm, well google is poised to release their driverless car. That might be the way to go.",1
2041,"Legal in #FL, 1 of 3 states. MT @JeffreyBrandes: A driverless car has gone 300K miles w/o an accident, says @JebBush http://t.co/T5zHuAg8b7",1
2043,@sc_k Ì¢âÂÒ@nprnews: Runway Scare: Driverless Van Crosses Path Of Passenger Jet At Toronto Airport http://t.co/LyIljUrXQmÌ¢âÂå ROBOT APOCALYPSE,0
2045,"Driverless cars, medical chips, scan and buy through your phone. I need to get the fuck out of this country.",0
2046,I really look forward to driverless cars http://t.co/AQ58NQVyS2,1
2047,Mass-produced driver-less cars in the next ten years. I cannot wait. http://t.co/ZBHtAmuF4Y,1
2048,"RT @LexusSM: No Hands, No Feet: My Unnerving Ride In Google's Driverless Car #Lexus http://t.co/hwbGpSJmMy",0
2050,"@mglenn Driverless public transit, like buses? OK, now you have my attention, but that's a LONG way off. Won't see that for a while.",1
2057,Ì¢âÂÒ@VXSuite: Google's driverless cars 'can't use 99pc of roads' http://t.co/hYmw4vS7JjÌ¢âÂå,0
2058,Being a googler and getting freaked out by driverless cars (@ Googleplex - 1600) http://t.co/59zLU2eBpU,0
2066,"Death, drones and driverless cars: how Google wants to control our lives  http://t.co/zEDQJPUWJb",0
2067,"Can't be worse than the brainless ones on the road now! ""@wsbtv: Georgia could be first to have driverless cars http://t.co/ro0k0MR0Us""",1
2073,Hurry up with that driverless car already eating tweeting and driving at the same time is Not easy,1
2074,"Not only cool, but they have the potential to revolutionize/eliminate traffic RT @newtgingrich: RT if you'd ride in a driverless car.I would",1
2075,The number of people on my feed retweeting Newt Gingrich talking about driverless cars is astounding.,1
2076,@pdxcommute driverless cars will be 1000x cheaper than high-speed rail and better for everyone. HSR is a waste of money,1
2077,Driverless cars can't come soon enough http://t.co/q0mwUmqXSm,1
2087,"@abhik and driverless cars are still really far off, google demos arenÌ¢âÂã¢t realistic",0
2089,@cnni Driverless truck?! Perfect 'car (((Bomb))). I'll take 2 4 AIPC rats nest in Hymie town &amp; DC.,0
